#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
EPIC_249624646b,6302,120,120,-0.06,0.1,0.1,1.194,0.067,0.077,1.511,0.075,0.072,4.23,0.1,0.1,0.344,0.052,0.045,9.212,0,-1,-1,0.0923,0.0066,0.0066,0,0.0664,0,0.273,0.014,0.014,-1,-1,-1,-1,-1,-1,1230,38,38,arXiv:1901.03716,arXiv:1901.03716
EPIC_249624646c,6302,120,120,-0.06,0.1,0.1,1.194,0.067,0.077,1.511,0.075,0.072,4.23,0.1,0.1,0.344,0.052,0.045,48.367,0,0.241,0,0.305,0.017,0.017,0.774,0.047,0.047,1.006,0.05,0.05,-1,-1,-1,0.76,0.12,0.12,676,16,16,arXiv:1901.03716,arXiv:1901.03716
EPIC_249631677,3300,30,30,-0.24,0.09,0.09,0.174,0.004,0.004,0.196,0.006,0.006,5.094,0.006,0.006,23.1,0.7,0.7,3.144,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0848,0.0052,0.0052,-1,-1,-1,-1,-1,-1,460,5,5,arXiv:2006.07308,arXiv:2006.07308
EPIC_249801827b,3810,17,17,-1,-1,-1,0.58,0.01,0.01,0.54,0.01,0.01,4.7,0.1,0.1,-1,-1,-1,6.034,0,-1,-1,-1,-1,-1,-1,-1,-1,0.178,0.018,0.009,-1,-1,-1,-1,-1,-1,586,24,18,arXiv:1806.01181,arXiv:1806.01181
EPIC_249801827c,3810,17,17,-1,-1,-1,0.58,0.01,0.01,0.54,0.01,0.01,4.7,0.1,0.1,-1,-1,-1,20.523,0,-1,-1,-1,-1,-1,-1,-1,-1,0.161,0.027,0.009,-1,-1,-1,-1,-1,-1,389,19,17,arXiv:1806.01181,arXiv:1806.01181
G_9-40,3348,32,32,0.04,0.1,0.11,0.29,0.02,0.02,0.3073,0.0059,0.0061,4.926,0.027,0.027,10,0.7,0.65,5.746,0,-1,-1,0.0385,0.0078,0.0053,0,0.037,0,0.1807,0.0086,0.0086,-1,-1,-1,-1,-1,-1,456,35,40,arXiv:1912.00291,arXiv:1912.00291
GJ_3473,3347,54,54,0.11,0.19,0.19,0.36,0.016,0.016,0.364,0.012,0.012,4.81,0.06,0.06,7.75,0.47,0.49,1.198,0.01,-1,-1,0.01589,0.00062,0.00062,0.0059,0.0009,0.0009,0.1128,0.0045,0.0044,11.4,2.1,2,3.79,0.81,0.7,773,16,15,arXiv:2009.10432,arXiv:2009.10432
GJ_0357,3505,51,51,-0.12,0.16,0.16,0.342,0.011,0.011,0.337,0.015,0.015,4.94,0.07,0.07,9.2,1.1,1.1,3.931,0,-1,-1,0.033,0.001,0.001,0.0066,0.001,0.001,0.1041,0.0033,0.0032,11.7,2.6,2.3,1.81,0.34,0.31,531,12,11,arXiv:1904.12818,arXiv:1909.00831
GJ_0436,3416,54,54,-0.03,0.2,0.2,0.507,0.071,0.062,0.455,0.018,0.018,4.83,0.03,0.03,5.37,0.3,0.27,2.644,0.1616,0.0041,0.0032,0.0308,0.0013,0.0012,0.0799,0.0066,0.0063,0.366,0.014,0.014,13,1,1,1.55,0.12,0.1,669,22,22,2007A+A...472L..13G,2014A+A...572A..73L
GJ_0486,3340,54,54,0.07,0.16,0.16,0.323,0.015,0.015,0.328,0.011,0.011,-1,-1,-1,-1,-1,-1,1.467,-1,-1,-1,0.01734,0.00026,0.00027,0.0089,0.0004,0.0004,0.1164,0.0056,0.006,16.4,0.6,0.5,5.3,0.9,0.8,701,13,13,arXiv:2103.04950,arXiv:2103.04950
GJ_1132,3270,140,140,-0.12,0.15,0.15,0.181,0.019,0.019,0.2105,0.0102,0.0085,-1,-1,-1,19.4,2.6,2.5,1.629,0,0.22,0,0.0153,0.0005,0.0005,0.0052,0.0007,0.0007,0.1008,0.005,0.005,12.9,2.2,2.2,4.7,1,1,529,9,9,2015Natur.527..204B,arXiv:1806.03870
GJ_1214,3250,100,100,0.29,0.12,0.12,0.178,0.01,0.01,0.215,0.008,0.008,5.026,0.04,0.04,18,2.5,2.1,1.58,0,0.063,0,0.01411,0.00032,0.00032,0.0257,0.0014,0.0014,0.2446,0.0045,0.0047,10.65,0.71,0.67,1.66,0.13,0.12,596,19,19,2009Natur.462..891C,arXiv:2107.14732
GJ_1252,3458,140,133,0.1,0.1,0.1,0.381,0.019,0.019,0.391,0.02,0.02,-1,-1,-1,-1,-1,-1,0.518,0,-1,-1,0.00916,0.00076,0.00076,0.0066,0.0018,0.0018,0.1064,0.0066,0.0066,-1,-1,-1,-1,-1,-1,997,53,49,arXiv:1912.05556,arXiv:1912.05556
GJ_3470,3725,54,54,0.42,0.019,0.019,0.476,0.019,0.019,0.474,0.018,0.018,4.65,0.06,0.06,3.39,0.3,0.32,3.337,0.017,0.016,0.012,0.03557,0.00096,0.001,0.0432,0.0051,0.0051,0.346,0.029,0.029,6.8,1.7,1.7,0.89,0.25,0.25,604,98,98,2012A+A...546A..27B,arXiv:2004.12812
GJ_9827b,4305,49,49,-0.5,0.08,0.08,0.606,0.02,0.014,0.602,0.005,0.004,4.72,0.1,0.1,3.47,0.27,0.73,1.209,0,-1,-1,0.0188,0.0002,0.00014,0.0154,0.0015,0.0015,0.1407,0.0024,0.0028,13.95,3.91,2.98,5.22,0.62,0.57,1114,46,26,2017AJ....154..266N,arXiv:1812.07302
GJ_9827c,4305,49,49,-0.5,0.08,0.08,0.606,0.02,0.014,0.602,0.005,0.004,4.72,0.1,0.1,3.47,0.27,0.73,3.648,0,-1,-1,0.03925,0.00042,0.00029,0.0026,0.0021,0.0026,0.1107,0.0021,0.0023,8.87,4.46,3.69,1.8,1.5,1.8,771,32,18,2017AJ....154..266N,arXiv:1812.07302
GJ_9827d,4305,49,49,-0.5,0.08,0.08,0.606,0.02,0.014,0.602,0.005,0.004,4.72,0.1,0.1,3.47,0.27,0.73,6.201,0,-1,-1,0.05591,0.00059,0.00041,0.0127,0.0026,0.0026,0.1804,0.0041,0.0038,5.34,2.19,1.75,2.02,0.44,0.43,646,26,15,2017AJ....154..266N,arXiv:1812.07302
GPX-1,7000,200,200,0.35,0.1,0.1,1.68,0.1,0.1,1.56,0.1,0.1,4.27,0.05,0.05,0.44,0.1,0.1,1.745,0,-1,-1,0.0338,0.0003,0.0003,19.7,1.6,1.6,1.47,0.1,0.1,234,35,30,6.2,1.3,1,2300,48,48,arXiv:2009.11899,arXiv:2009.11899
HAT-P-01,5975,50,50,0.13,0.05,0.05,1.151,0.019,0.019,1.174,0.026,0.027,4.359,0.014,0.014,0.644,0.013,0.016,4.465,0,-1,-1,0.05561,0.00082,0.00083,0.525,0.019,0.019,1.319,0.019,0.019,7.46,0.17,0.17,0.213,0.008,0.007,1322,14,15,2007ApJ...656..552B,2014MNRAS.437...46N
HAT-P-02,6290,60,60,0.14,0.08,0.08,1.279,0.046,0.046,1.68,0.15,0.15,4.092,0.074,0.074,0.268,0.07,0.07,5.633,0.5091,0.0005,0.0005,0.0674,0.00081,0.00081,8.74,0.27,0.27,1.19,0.12,0.12,152,30,30,5.1,1.5,1.5,1516,66,66,2007ApJ...670..826B,2010MNRAS.408.1689S
HAT-P-03,5190,80,80,0.24,0.08,0.08,0.925,0.045,0.045,0.85,0.023,0.023,4.545,0.023,0.023,1.51,0.11,0.11,2.9,0,-1,-1,0.03878,0.00065,0.00065,0.595,0.024,0.024,0.911,0.034,0.034,17.8,1.2,1.2,0.735,0.075,0.075,1170,17,17,2007ApJ...666L.121T,2018A+A...613A..41M
HAT-P-04,6036,46,46,0.277,0.007,0.007,1.271,0.12,0.07,1.6,0.116,0.041,4.134,0.017,0.038,0.31,0.016,0.041,3.057,0,-1,-1,0.04465,0.0014,0.00082,0.68,0.046,0.029,1.337,0.079,0.035,9.42,0.44,0.91,0.266,0.018,0.038,1691,46,26,2007ApJ...670L..41K,2011MNRAS.417.2166S
HAT-P-05,5960,100,100,0.24,0.15,0.15,1.163,0.069,0.069,1.137,0.033,0.033,4.392,0.02,0.03,0.791,0.05,0.05,2.788,0,-1,-1,0.04079,0.0008,0.0008,1.06,0.11,0.11,1.252,0.043,0.043,16.7,1.9,1.9,0.504,0.067,0.067,1517,29,29,2007ApJ...671L.173B,2012MNRAS.422.3099S
HAT-P-06,6570,80,80,-0.13,0.08,0.08,1.295,0.068,0.068,1.518,0.071,0.071,4.188,0.035,0.035,0.37,0.045,0.045,3.853,0,-1,-1,0.05244,0.00092,0.00092,1.063,0.057,0.057,1.395,0.081,0.081,13.5,1.6,1.6,0.366,0.064,0.064,1704,40,40,2008ApJ...673L..79N,2012MNRAS.426.1291S
HAT-P-07,6310,15,15,0.32,0.04,0.04,1.59,0.03,0.03,2.02,0.01,0.01,4.029,0.003,0.003,0.1919,0.0025,0.0025,2.205,0.0016,0.0034,0.001,0.03805,0.00036,0.00036,1.87,0.03,0.03,1.526,0.008,0.008,20.77,0.33,0.33,0.5,0.01,0.01,2194,27,27,2008ApJ...680.1450P,2014PASJ...66...94B
HAT-P-08,6200,80,80,0.01,0.08,0.08,1.192,0.075,0.075,1.475,0.034,0.034,4.177,0.022,0.022,0.517,0.035,0.035,3.076,0,-1,-1,0.0439,0.00091,0.00091,1.275,0.053,0.053,1.321,0.04,0.04,18.11,0.82,0.82,0.371,0.022,0.022,1713,27,27,2009ApJ...704.1107L,2013A+A...551A..11M
HAT-P-09,6350,150,150,0.12,0.2,0.2,1.28,0.1,0.1,1.339,0.08,0.08,4.293,0.046,0.046,0.534,0.082,0.082,3.923,0,-1,-1,0.0529,0.0014,0.0014,0.778,0.083,0.083,1.38,0.1,0.1,10.1,1.7,1.7,0.275,0.066,0.066,1540,53,53,2009ApJ...690.1393S,2012MNRAS.426.1291S
HAT-P-11,4780,50,50,0.31,0.05,0.05,0.802,0.028,0.028,0.683,0.009,0.009,4.663,0.012,0.012,2.415,0.097,0.097,4.888,0.2644,0.0006,0.0006,0.05259,0.00062,0.00062,0.0873,0.0097,0.0097,0.389,0.0053,0.0053,13.2,1.1,1.1,1.26,0.12,0.12,838,10,10,2010ApJ...710.1724B,arXiv:1812.02189
HAT-P-12,4665,45,45,-0.2,0.09,0.09,0.691,0.023,0.023,0.679,0.013,0.013,4.614,0.012,0.012,2.205,0.077,0.077,3.213,0,-1,-1,0.03767,0.00063,0.00063,0.201,0.012,0.012,0.919,0.023,0.023,5.89,0.34,0.34,0.242,0.017,0.017,955,11,11,2009ApJ...706..785H,2018A+A...613A..41M
HAT-P-13,5653,90,90,0.41,0.08,0.08,1.32,0.062,0.062,1.756,0.046,0.046,4.07,0.02,0.02,0.244,0.013,0.013,2.916,0.0133,0.0041,0.0041,0.04383,0.00068,0.00068,0.906,0.03,0.03,1.487,0.041,0.041,10.15,0.43,0.43,0.257,0.017,0.017,1725,31,31,2009ApJ...707..446B,2012MNRAS.420.2580S
HAT-P-14,6600,90,90,0.11,0.08,0.08,1.418,0.054,0.054,1.591,0.056,0.056,4.187,0.025,0.025,0.352,0.031,0.031,4.628,0.107,0.013,0.013,0.06108,0.00077,0.00077,2.271,0.083,0.083,1.219,0.059,0.059,37.9,3.7,3.7,1.17,0.17,0.17,1624,32,32,2010ApJ...715..458T,2012MNRAS.426.1291S
HAT-P-15,5568,90,90,0.22,0.08,0.08,1.013,0.043,0.043,1.08,0.039,0.039,4.38,0.03,0.03,1.58,0.18,0.18,10.864,0.19,0.019,0.019,0.0964,0.0014,0.0014,1.946,0.066,0.066,1.072,0.043,0.043,41.7,2.9,2.9,1.48,0.17,0.17,904,20,20,2010ApJ...724..866K,2010ApJ...724..866K
HAT-P-16,6140,72,72,0.12,0.08,0.08,1.216,0.055,0.055,1.158,0.025,0.025,4.396,0.016,0.016,0.784,0.04,0.04,2.776,0.036,0.004,0.004,0.0413,0.00062,0.00062,4.193,0.128,0.128,1.19,0.037,0.037,73.4,4.1,4.1,2.33,0.2,0.2,1567,22,22,2010ApJ...720.1118B,2013A+A...557A..30C
HAT-P-17,5322,55,55,0.05,0.13,0.13,0.88,0.04,0.04,0.84,0.01,0.01,-1,-1,-1,-1,-1,-1,10.339,0.3417,0.0036,0.0036,0.0882,0.0014,0.0014,0.54,0.02,0.02,1.04,0.02,0.02,12.9,0.6,0.6,0.33,0.02,0.02,792,15,15,2012ApJ...749..134H,2012ApJ...749..134H
HAT-P-18,4870,50,50,0.1,0.06,0.06,0.77,0.027,0.027,0.717,0.026,0.026,4.613,0.031,0.031,2.08,0.21,0.21,5.508,0.009,0.03,0.009,0.0559,0.0007,0.0007,0.196,0.008,0.008,0.947,0.044,0.044,5.42,0.55,0.55,0.216,0.032,0.032,841,15,15,2011ApJ...726...52H,2014A+A...564L..13E
HAT-P-19,4991,50,50,0.24,0.05,0.05,0.834,0.034,0.031,0.788,0.093,0.091,4.566,0.018,0.018,1.71,0.09,0.08,4.009,0.084,0.041,0.041,0.04649,0.00062,0.00059,0.29,0.016,0.016,1.089,0.018,0.018,6.07,0.39,0.37,0.21,0.016,0.014,984,10,10,2011ApJ...726...52H,arXiv:1911.07903
HAT-P-20,4595,45,45,0.22,0.09,0.09,0.748,0.042,0.042,0.68,0.006,0.006,4.643,0.02,0.02,1.67,0.11,0.11,2.876,0.0172,0.0016,0.0016,0.03593,0.00029,0.00029,7.22,0.36,0.36,1.025,0.053,0.053,170.2,7.6,7.3,6.26,0.29,0.29,964,10,10,2011ApJ...742..116B,2017A+A...601A..53E
HAT-P-21,5588,80,80,0.01,0.08,0.08,0.947,0.042,0.042,1.105,0.083,0.083,4.33,0.06,0.06,-1,-1,-1,4.124,0.228,0.016,0.016,0.0494,0.0007,0.0007,4.063,0.161,0.161,1.024,0.092,0.092,95,18,18,3.77,1.28,0.8,1283,50,50,2011ApJ...742..116B,2011ApJ...742..116B
HAT-P-22,5314,50,50,0.3,0.09,0.09,0.936,0.043,0.043,1.062,0.048,0.048,4.357,0.039,0.039,0.781,0.099,0.099,3.212,0.016,0.009,0.009,0.04171,0.00065,0.00065,2.192,0.077,0.077,1.06,0.073,0.073,48.3,6.6,6.6,1.72,0.35,0.35,1293,29,29,2011ApJ...742..116B,2018A+A...613A..41M
HAT-P-23,5885,72,72,0.13,0.08,0.08,1.104,0.047,0.047,1.089,0.028,0.028,4.407,0.018,0.018,0.855,0.051,0.051,1.213,0,-1,-1,0.02302,0.00032,0.00032,2.07,0.12,0.12,1.224,0.037,0.037,34.3,2.4,2.4,1.057,0.097,0.097,1951,30,30,2011ApJ...742..116B,2015A+A...577A..54C
HAT-P-24,6373,80,80,-0.16,0.08,0.08,1.186,0.042,0.041,1.294,0.071,0.062,4.286,0.038,0.039,0.545,0.078,0.072,3.355,0.052,0.022,0.017,0.04641,0.00054,0.00054,0.681,0.031,0.03,1.243,0.072,0.061,10.9,1.1,1.1,0.354,0.056,0.053,1624,44,41,2010ApJ...725.2017K,2010ApJ...725.2017K
HAT-P-25,5500,80,80,0.31,0.08,0.08,1.012,0.053,0.051,0.919,0.034,0.034,4.516,0.026,0.025,1.3,0.12,0.11,3.653,0.023,0.022,0.014,0.0466,0.00081,0.0008,0.569,0.022,0.023,1.135,0.048,0.048,10.94,0.86,0.78,0.364,0.044,0.038,1182,25,25,2012ApJ...745...80Q,arXiv:1805.01580
HAT-P-26,5011,55,55,0.01,0.04,0.04,0.816,0.033,0.033,0.788,0.098,0.043,4.56,0.06,0.06,-1,-1,-1,4.235,0.124,0.06,0.06,0.0479,0.0006,0.0006,0.059,0.007,0.007,0.565,0.072,0.032,4.47,0.9,0.92,0.32,0.08,0.08,1001,66,47,2011ApJ...728..138H,2011ApJ...728..138H
HAT-P-27,5316,55,55,0.3,0.03,0.03,0.945,0.035,0.035,0.898,0.054,0.039,4.51,0.04,0.04,-1,-1,-1,3.04,0.078,0.047,0.047,0.0403,0.0005,0.0005,0.66,0.033,0.033,1.038,0.077,0.058,15.1,1.7,1.7,0.59,0.1,0.1,1207,41,41,2011ApJ...734..109B,2011ApJ...734..109B
HAT-P-28,5680,90,90,0.12,0.08,0.08,1.025,0.047,0.047,1.103,0.091,0.069,4.36,0.06,0.06,-1,-1,-1,3.257,0.051,0.033,0.033,0.0434,0.0007,0.0007,0.626,0.037,0.037,1.212,0.113,0.082,10.5,1.5,1.5,0.35,0.07,0.07,1384,52,52,2011ApJ...733..116B,2011ApJ...733..116B
HAT-P-29,6115,86,86,0.128,0.079,0.08,1.199,0.063,0.061,1.237,0.077,0.071,4.332,0.044,0.044,0.63,0.11,0.09,5.723,0.075,0.029,0.027,0.0665,0.0011,0.0011,0.767,0.047,0.045,1.064,0.075,0.068,16.7,2.3,2.1,0.6,0.13,0.11,1271,39,37,2011ApJ...733..116B,arXiv:1807.10107
HAT-P-30,6338,42,42,0.12,0.03,0.03,1.242,0.041,0.041,1.215,0.051,0.051,4.36,0.03,0.03,-1,-1,-1,2.811,0.035,0.024,0.024,0.0419,0.0005,0.0005,0.711,0.028,0.028,1.34,0.065,0.065,9.8,0.9,0.9,0.28,0.04,0.04,1630,42,42,2011ApJ...735...24J,2011ApJ...735...24J
HAT-P-31,6065,100,100,0.15,0.08,0.08,1.218,0.089,0.063,1.36,0.27,0.18,4.26,0.11,0.13,0.49,0.17,0.18,5.005,0.245,0.0045,0.0045,0.055,0.015,0.015,2.171,0.105,0.077,1.07,0.24,0.16,41,17,21,1.64,0.93,0.7,1450,230,110,2011AJ....142...95K,2011AJ....142...95K
HAT-P-32,6269,64,64,-0.04,0.08,0.08,1.182,0.049,0.049,1.225,0.017,0.017,4.335,0.005,0.005,0.6435,0.0032,0.0032,2.15,0,-1,-1,0.03448,0.00048,0.00048,0.8,0.14,0.14,1.807,0.026,0.026,6,1.6,1.6,0.126,0.023,0.023,1801,18,18,2011ApJ...742...59H,arXiv:1712.00415
HAT-P-33,6446,88,88,0.07,0.08,0.08,1.375,0.04,0.04,1.637,0.034,0.034,4.15,0.01,0.01,-1,-1,-1,3.475,0,-1,-1,0.0499,0.0005,0.0005,0.762,0.101,0.101,1.686,0.045,0.045,6.6,1,1,0.15,0.02,0.02,1782,28,28,2011ApJ...742...59H,2011ApJ...742...59H
HAT-P-34,6442,88,88,0.22,0.04,0.04,1.392,0.047,0.047,1.535,0.135,0.102,4.21,0.06,0.06,-1,-1,-1,5.453,0.441,0.032,0.032,0.0677,0.0008,0.0008,3.328,0.211,0.211,1.197,0.128,0.092,58,11,11,1.81,0.47,0.47,1520,60,60,2012AJ....144...19B,2012AJ....144...19B
HAT-P-35,6178,45,45,0.12,0.03,0.03,1.236,0.048,0.048,1.435,0.084,0.084,4.21,0.04,0.04,-1,-1,-1,3.647,0.025,0.018,0.018,0.0498,0.0006,0.0006,1.054,0.033,0.033,1.332,0.098,0.098,14.8,2.1,2.1,0.41,0.08,0.08,1581,45,45,2012AJ....144...19B,2012AJ....144...19B
HAT-P-36,5620,40,40,0.25,0.09,0.09,1.03,0.042,0.042,1.041,0.016,0.016,4.416,0.011,0.011,0.913,0.027,0.027,1.327,0,0.095,0,0.02388,0.00032,0.00032,1.852,0.095,0.095,1.304,0.025,0.025,27,1.4,1.4,0.737,0.095,0.095,1788,15,15,2012AJ....144...19B,2015A+A...579A.136M
HAT-P-37,5500,100,100,0.03,0.1,0.1,0.929,0.043,0.043,0.877,0.059,0.077,4.52,0.05,0.05,-1,-1,-1,2.797,0.058,0.038,0.038,0.0379,0.0006,0.0006,1.169,0.103,0.103,1.178,0.077,0.07,21,3,3,0.67,0.14,0.14,1271,47,47,2012AJ....144...19B,2012AJ....144...19B
HAT-P-38,5330,100,100,0.06,0.1,0.1,0.886,0.044,0.044,0.923,0.096,0.067,4.45,0.08,0.08,-1,-1,-1,4.64,0.067,0.047,0.047,0.0523,0.0009,0.0009,0.267,0.02,0.02,0.825,0.092,0.063,9.8,1.8,1.8,0.44,0.12,0.12,1082,55,55,2012PASJ...64...97S,2012PASJ...64...97S
HAT-P-39,6340,100,100,0.19,0.1,0.1,1.404,0.051,0.051,1.625,0.081,0.062,4.16,0.03,0.03,-1,-1,-1,3.544,0,-1,-1,0.0509,0.0006,0.0006,0.599,0.099,0.099,1.571,0.108,0.081,5.9,1.3,1.3,0.14,0.03,0.03,1752,43,43,2012AJ....144..139H,2012AJ....144..139H
HAT-P-40,6080,100,100,0.22,0.1,0.1,1.512,0.045,0.109,2.206,0.061,0.061,3.93,0.02,0.02,-1,-1,-1,4.457,0,-1,-1,0.0608,0.0006,0.0015,0.615,0.038,0.038,1.73,0.062,0.062,5.13,0.35,0.35,0.11,0.01,0.01,1770,33,33,2012AJ....144..139H,2012AJ....144..139H
HAT-P-41,6390,100,100,0.21,0.1,0.1,1.418,0.047,0.047,1.683,0.058,0.036,4.14,0.02,0.02,-1,-1,-1,2.694,0,-1,-1,0.0426,0.0005,0.0005,0.8,0.102,0.102,1.685,0.076,0.051,6.9,1,1,0.15,0.02,0.02,1941,38,38,2012AJ....144..139H,2012AJ....144..139H
HAT-P-42,5743,50,50,0.27,0.08,0.08,1.178,0.068,0.068,1.53,0.14,0.14,4.14,0.07,0.07,-1,-1,-1,4.642,0,0.2,0,0.0575,0.0011,0.0011,1.044,0.083,0.083,1.28,0.153,0.153,15.8,3.7,3.7,0.46,0.26,0.11,1428,60,60,2013A+A...558A..86B,2013A+A...558A..86B
HAT-P-43,5645,74,74,0.23,0.08,0.08,1.048,0.031,0.042,1.103,0.041,0.021,4.37,0.02,0.02,-1,-1,-1,3.333,0,0.29,0,0.0443,0.0004,0.0006,0.662,0.06,0.06,1.281,0.062,0.033,10,1.2,1.2,0.29,0.04,0.04,1361,25,25,2013A+A...558A..86B,2013A+A...558A..86B
HAT-P-44,5295,100,100,0.33,0.1,0.1,0.942,0.041,0.041,0.949,0.08,0.037,4.46,0.06,0.06,-1,-1,-1,4.301,0.044,0.052,0.052,0.0507,0.0007,0.0007,0.352,0.029,0.029,1.242,0.106,0.061,5.62,0.69,0.84,0.17,0.03,0.03,1108,51,32,2014AJ....147..128H,2014AJ....147..128H
HAT-P-45,6330,100,100,0.07,0.1,0.1,1.259,0.058,0.058,1.319,0.155,0.072,4.3,0.06,0.06,-1,-1,-1,3.129,0.049,0.063,0.063,0.0452,0.0007,0.0007,0.892,0.137,0.099,1.426,0.175,0.087,10.7,1.9,1.6,0.29,0.07,0.07,1652,90,52,2014AJ....147..128H,2014AJ....147..128H
HAT-P-46,6120,100,100,0.3,0.1,0.1,1.284,0.095,0.095,1.396,0.293,0.136,4.25,0.11,0.11,-1,-1,-1,4.463,0.123,0.12,0.12,0.0577,0.0014,0.0009,0.493,0.082,0.052,1.284,0.271,0.133,7.3,1.9,1.5,0.21,0.08,0.08,1458,140,75,2014AJ....147..128H,2014AJ....147..128H
HAT-P-47,6703,50,50,0,0.08,0.08,1.387,0.038,0.038,1.515,0.04,0.04,4.22,0.02,0.02,-1,-1,-1,4.732,0,0.202,0,0.0615,0.0006,0.0006,0.206,0.039,0.039,1.313,0.045,0.045,2.95,0.52,0.66,0.083,0.015,0.015,1605,22,22,arXiv:1606.04556,arXiv:1606.04556
HAT-P-48,5946,50,50,0.02,0.08,0.08,1.099,0.041,0.041,1.223,0.046,0.046,4.3,0.03,0.03,-1,-1,-1,4.409,0,0.378,0,0.0543,0.0007,0.0007,0.168,0.024,0.024,1.131,0.054,0.054,3.24,0.57,0.48,0.106,0.023,0.015,1361,25,25,arXiv:1606.04556,arXiv:1606.04556
HAT-P-49,6820,52,52,0.074,0.08,0.08,1.543,0.051,0.051,1.833,0.138,0.076,4.1,0.04,0.04,-1,-1,-1,2.692,0,0.192,0,0.0438,0.0005,0.0005,1.73,0.205,0.205,1.413,0.128,0.077,21.4,3.7,3.2,0.57,0.13,0.13,2131,69,42,2014AJ....147...84B,2014AJ....147...84B
HAT-P-50,6280,49,49,-0.18,0.08,0.08,1.273,0.049,0.115,1.698,0.071,0.071,4.072,0.037,0.037,0.253,0.026,0.026,3.122,0,0.115,0,0.0453,0.00058,0.0014,1.35,0.073,0.073,1.288,0.064,0.064,20,1.8,1.7,0.59,0.08,0.08,1862,34,34,2015AJ....150..168H,2015AJ....150..168H
HAT-P-51,5449,50,50,0.27,0.08,0.08,0.976,0.028,0.028,1.041,0.038,0.029,4.392,0.027,0.027,0.867,0.071,0.096,4.218,0,0.123,0,0.05069,0.00049,0.00049,0.309,0.018,0.018,1.293,0.054,0.054,4.58,0.41,0.51,0.134,0.018,0.018,1192,21,21,2015AJ....150..168H,2015AJ....150..168H
HAT-P-52,5131,50,50,0.28,0.08,0.08,0.887,0.027,0.027,0.893,0.047,0.047,4.483,0.051,0.051,1.24,0.21,0.21,2.754,0,0.047,0,0.03694,0.00038,0.00038,0.818,0.029,0.029,1.009,0.072,0.072,19.8,3.2,2.7,0.74,0.16,0.16,1218,37,37,2015AJ....150..168H,2015AJ....150..168H
HAT-P-53,5956,50,50,0,0.08,0.08,1.093,0.043,0.043,1.209,0.081,0.062,4.31,0.043,0.043,0.62,0.09,0.09,1.962,0,0.134,0,0.03159,0.00042,0.00042,1.484,0.056,0.056,1.318,0.091,0.091,21.1,2.9,2.5,0.6,0.11,0.11,1778,48,48,2015AJ....150..168H,2015AJ....150..168H
HAT-P-54,4390,50,50,-0.127,0.08,0.08,0.645,0.02,0.02,0.617,0.013,0.013,4.667,0.012,0.012,-1,-1,-1,3.8,0,0.074,0,0.04117,0.00043,0.00043,0.76,0.032,0.032,0.944,0.028,0.028,21.1,1.3,1.3,0.842,0.074,0.074,818,12,12,2015AJ....149..149B,2015AJ....149..149B
HAT-P-55,5808,50,50,-0.03,0.08,0.08,1.013,0.037,0.037,1.011,0.036,0.036,4.434,0.032,0.032,-1,-1,-1,3.585,0,0.139,0,0.04604,0.00056,0.00056,0.582,0.056,0.056,1.182,0.055,0.055,10.3,1.4,1.4,0.328,0.058,0.058,1313,26,26,2015PASP..127..851J,2015PASP..127..851J
HAT-P-56,6566,50,50,-0.077,0.08,0.08,1.296,0.036,0.036,1.428,0.03,0.03,4.24,0.015,0.015,0.444,0.023,0.023,2.791,0,0.246,0,0.0423,0.00039,0.00039,2.18,0.25,0.25,1.466,0.04,0.04,25.2,3.4,3,0.65,0.09,0.09,1840,21,21,2015AJ....150...85H,2015AJ....150...85H
HAT-P-57,7500,250,250,-0.25,0.25,0.25,1.47,0.12,0.12,1.5,0.05,0.05,4.251,0.018,0.018,0.436,0.016,0.026,2.465,0,-1,-1,0.0406,0.0011,0.0011,0,1.85,0,1.413,0.054,0.054,-1,-1,-1,-1,-1,-1,2200,76,76,2015AJ....150..197H,2015AJ....150..197H
HAT-P-58,5931,50,50,0.012,0.08,0.08,1.031,0.028,0.028,1.53,0.034,0.034,4.082,0.02,0.02,0.287,0.018,0.018,4.014,0,0.073,0,0.04994,0.00044,0.00044,0.372,0.03,0.03,1.332,0.043,0.043,5.18,0.57,0.51,0.146,0.018,0.018,1622,18,18,arXiv:2007.05528,arXiv:2007.05528
